[16:50:35.472] [main                ] ℹ️ Initial Parameters:
[16:50:38.722] [Consumer-Topic1-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:38.725] [Consumer-Topic2-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:38.726] [Consumer-Topic2-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:38.748] [Producer-2          ] 📊 Posted message: Message-00028
[16:50:38.751] [Consumer-Topic2-2   ] 📊 Consumed message: Message-00028
[16:50:38.752] [Consumer-Topic2-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:38.752] [Consumer-Topic2-2   ] ✨ SUCCESS: Consumed message on topic topic2: Message-00028
[16:50:38.751] [Producer-2          ] 📊 Produced: Message-00028 to topic2
[16:50:38.753] [Consumer-Topic1-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:38.755] [Consumer-Topic1-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:38.756] [Consumer-Topic2-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.155] [Producer-3          ] 📊 Posted message: Message-00029
[16:50:39.156] [Producer-3          ] 📊 Produced: Message-00029 to topic2
[16:50:39.156] [Consumer-Topic2-1   ] 📊 Consumed message: Message-00029
[16:50:39.158] [Consumer-Topic1-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.158] [Consumer-Topic2-1   ] ✨ SUCCESS: Consumed message on topic topic2: Message-00029
[16:50:39.159] [Consumer-Topic1-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.160] [Consumer-Topic2-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.161] [Consumer-Topic2-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.186] [Producer-4          ] 📊 Posted message: Message-00030
[16:50:39.187] [Consumer-Topic1-2   ] 📊 Consumed message: Message-00030
[16:50:39.187] [Producer-4          ] 📊 Produced: Message-00030 to topic1
[16:50:39.188] [Consumer-Topic1-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.188] [Consumer-Topic1-2   ] ✨ SUCCESS: Consumed message on topic topic1: Message-00030
[16:50:39.190] [Consumer-Topic2-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.191] [Consumer-Topic2-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.192] [Consumer-Topic1-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.232] [Producer-1          ] 📊 Posted message: Message-00031
[16:50:39.234] [Consumer-Topic1-1   ] 📊 Consumed message: Message-00031
[16:50:39.235] [Consumer-Topic2-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.235] [Consumer-Topic1-1   ] ✨ SUCCESS: Consumed message on topic topic1: Message-00031
[16:50:39.234] [Producer-1          ] 📊 Produced: Message-00031 to topic1
[16:50:39.236] [Consumer-Topic2-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.237] [Consumer-Topic1-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.238] [Consumer-Topic1-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.263] [Producer-2          ] 📊 Posted message: Message-00032
[16:50:39.264] [Consumer-Topic2-2   ] 📊 Consumed message: Message-00032
[16:50:39.264] [Producer-2          ] 📊 Produced: Message-00032 to topic2
[16:50:39.265] [Consumer-Topic2-2   ] ✨ SUCCESS: Consumed message on topic topic2: Message-00032
[16:50:39.265] [Consumer-Topic2-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.267] [Consumer-Topic1-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.269] [Consumer-Topic1-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.271] [Consumer-Topic2-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.670] [Producer-3          ] 📊 Posted message: Message-00033
[16:50:39.672] [Consumer-Topic2-1   ] 📊 Consumed message: Message-00033
[16:50:39.673] [Producer-3          ] 📊 Produced: Message-00033 to topic2
[16:50:39.673] [Consumer-Topic2-1   ] ✨ SUCCESS: Consumed message on topic topic2: Message-00033
[16:50:39.673] [Consumer-Topic1-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.679] [Consumer-Topic1-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.682] [Consumer-Topic2-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.683] [Consumer-Topic2-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.703] [Producer-4          ] 📊 Posted message: Message-00034
[16:50:39.709] [Producer-4          ] 📊 Produced: Message-00034 to topic1
[16:50:39.709] [Consumer-Topic1-2   ] 📊 Consumed message: Message-00034
[16:50:39.718] [Consumer-Topic1-2   ] ✨ SUCCESS: Consumed message on topic topic1: Message-00034
[16:50:39.720] [Consumer-Topic1-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.721] [Consumer-Topic1-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.722] [Consumer-Topic2-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.723] [Consumer-Topic2-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.749] [Producer-1          ] 📊 Posted message: Message-00035
[16:50:39.751] [Producer-1          ] 📊 Produced: Message-00035 to topic2
[16:50:39.752] [Consumer-Topic2-2   ] 📊 Consumed message: Message-00035
[16:50:39.753] [Consumer-Topic2-2   ] ✨ SUCCESS: Consumed message on topic topic2: Message-00035
[16:50:39.753] [Consumer-Topic2-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.755] [Consumer-Topic1-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.756] [Consumer-Topic1-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.757] [Consumer-Topic2-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.781] [Producer-2          ] 📊 Posted message: Message-00036
[16:50:39.785] [Consumer-Topic2-1   ] 📊 Consumed message: Message-00036
[16:50:39.785] [Producer-2          ] 📊 Produced: Message-00036 to topic2
[16:50:39.786] [Consumer-Topic2-1   ] ✨ SUCCESS: Consumed message on topic topic2: Message-00036
[16:50:39.786] [Consumer-Topic1-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.789] [Consumer-Topic1-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.790] [Consumer-Topic2-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:39.792] [Consumer-Topic2-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:40.176] [Producer-3          ] 📊 Posted message: Message-00037
[16:50:40.177] [Producer-3          ] 📊 Produced: Message-00037 to topic2
[16:50:40.180] [Consumer-Topic2-2   ] 📊 Consumed message: Message-00037
[16:50:40.181] [Consumer-Topic2-2   ] ✨ SUCCESS: Consumed message on topic topic2: Message-00037
[16:50:40.181] [Consumer-Topic2-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:40.182] [Consumer-Topic1-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:40.183] [Consumer-Topic1-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:40.185] [Consumer-Topic2-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:40.220] [Producer-4          ] 📊 Posted message: Message-00038
[16:50:40.222] [Consumer-Topic2-1   ] 📊 Consumed message: Message-00038
[16:50:40.222] [Producer-4          ] 📊 Produced: Message-00038 to topic2
[16:50:40.223] [Consumer-Topic2-1   ] ✨ SUCCESS: Consumed message on topic topic2: Message-00038
[16:50:40.223] [Consumer-Topic1-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:40.225] [Consumer-Topic1-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:40.227] [Consumer-Topic2-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:40.227] [Consumer-Topic2-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:40.253] [Producer-1          ] 📊 Posted message: Message-00039
[16:50:40.255] [Producer-1          ] 📊 Produced: Message-00039 to topic1
[16:50:40.255] [Consumer-Topic1-1   ] 📊 Consumed message: Message-00039
[16:50:40.265] [Consumer-Topic1-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:40.267] [Consumer-Topic2-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:40.267] [Consumer-Topic1-1   ] ✨ SUCCESS: Consumed message on topic topic1: Message-00039
[16:50:40.269] [Consumer-Topic1-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:40.271] [Consumer-Topic2-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:40.287] [Producer-2          ] 📊 Posted message: Message-00040
[16:50:40.294] [Consumer-Topic2-2   ] 📊 Consumed message: Message-00040
[16:50:40.294] [Producer-2          ] 📊 Produced: Message-00040 to topic2
[16:50:40.296] [Consumer-Topic2-2   ] ✨ SUCCESS: Consumed message on topic topic2: Message-00040
[16:50:40.296] [Consumer-Topic1-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:40.300] [Consumer-Topic2-1   ] 🔒 Attempting to acquire notEmpty condition
[16:50:40.301] [Consumer-Topic1-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:40.302] [Consumer-Topic2-2   ] 🔒 Attempting to acquire notEmpty condition
[16:50:40.579] [main                ] ⏹️ Stopped: Waiting for process completion
[16:50:40.581] [main                ] ▶️ Started: Interrupting threads
[16:50:40.582] [Producer-1          ] 🔄 State changed to: Interrupted
[16:50:40.583] [Producer-2          ] 🔄 State changed to: Interrupted
[16:50:40.584] [Producer-3          ] 🔄 State changed to: Interrupted
[16:50:40.585] [Producer-4          ] 🔄 State changed to: Interrupted
[16:50:40.586] [Consumer-Topic1-1   ] 🔄 State changed to: Interrupted
[16:50:40.587] [Consumer-Topic1-2   ] 🔄 State changed to: Interrupted
[16:50:40.588] [Consumer-Topic2-1   ] 🔄 State changed to: Interrupted
[16:50:40.589] [Consumer-Topic2-2   ] 🔄 State changed to: Interrupted
[16:50:40.589] [main                ] ⏹️ Stopped: Interrupting threads
[16:50:40.590] [main                ] ℹ️ Final Report:
[16:50:40.591] [main                ] ℹ️ - Messages in the Bus: 0
[16:50:40.596] [main                ] ℹ️ - Messages Consumed for Topic 'topic1': 14
[16:50:40.597] [main                ] ℹ️ - Messages Consumed for Topic 'topic2': 26
